出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"115/05/01","115/3","6901","鑽石投資","其他","-84898","-235145","-646593","63.89546875332242","86.86994755588137","-336282","-546353","38.44968362944836","營業收入為投資標的之評價損益(含已實現及未實現)，投資標的的股數及公允價值變動情形，請參考本公司網站投資人專區/財務資訊。"
"115/05/01","115/3","6902","GOGOLOOK","數位雲端","107871","90876","85529","18.701307275848407","26.122134013024823","303108","239452","26.584033543257103","-"
"115/05/01","115/3","6906","現觀科","數位雲端","29755","25424","29929","17.03508495909377","-0.5813759230178088","79546","79262","0.35830536701067345","-"
"115/05/01","115/3","6908","宏碁遊戲-創","電子通路業","416149","361068","265608","15.255021214840419","56.67788620824674","1160142","1082481","7.174352251910195","本月營收增加主係因受惠於香港及新加坡市場PlayStation代理業務及子公司新收購的上海業務之營收認列"
"115/05/01","115/3","6909","創控","半導體業","49463","18760","54725","163.66204690831557","-9.615349474645956","101504","130407","-22.163687532111005","-"
"115/05/01","115/3","6914","阜爾運通","其他","495555","468401","444443","5.797169519279421","11.500237375771471","1436180","1314653","9.244036258997621","-"
"115/05/01","115/3","6916","華凌","光電業","198265","126614","169442","56.59010851880519","17.010540479928235","505829","515858","-1.944139666342288","-"
"115/05/01","115/3","6918","愛派司","生技醫療業","73755","74229","63482","-0.638564442468577","16.182539932579314","219385","196387","11.710551105724921","-"
"115/05/01","115/3","6919","康霈*","生技醫療業","2","0","0","","","2","0","","本公司新藥仍在研發階段，目前營收來源為健康食品銷售，僅於出貨予代理商之月份認列營收，因並非每月固定出貨致使營收變動。"
"115/05/01","115/3","6921","嘉雨思-創","半導體業","9403","9748","16719","-3.5391875256462866","-43.75859800227286","28453","60687","-53.115164697546426","受記憶體漲價影響，客戶調降消費性電子商品生產量，使公司營收隨之下滑。"
"115/05/01","115/3","6923","中台","綠能環保","102568","90189","98364","13.72562064109814","4.273921353340653","304815","292489","4.214175575833621","-"
"115/05/01","115/3","6924","榮惠-KY創","電子零組件業","141575","154271","144439","-8.229673755923018","-1.982843968734206","472287","444093","6.348670210969324","-"
"115/05/01","115/3","6928","攸泰科技","電腦及週邊設備業","173514","136910","212027","26.73581184719889","-18.164196069368522","547857","611114","-10.351096522089168","-"
"115/05/01","115/3","6931","青松健康","生技醫療業","109802","89639","89824","22.493557491716775","22.241271820448876","304626","258048","18.050130208333332","-"
"115/05/01","115/3","6933","AMAX-KY","電腦及週邊設備業","772235","428387","881408","80.26574102388727","-12.386204799593378","1828445","1955838","-6.513474019831908","-"
"115/05/01","115/3","6934","心誠鎂","生技醫療業","3626","18","7724","20044.444444444445","-53.05541170378042","3685","8278","-55.48441652573085","與上期差異大，主係本期依照客戶需求及合約規定，出貨第一代產品所致。"
"115/05/01","115/3","6936","永鴻生技","生技醫療業","132278","92334","114328","43.26033747048758","15.700440836890351","368422","340756","8.119005974949818","-"
"115/05/01","115/3","6937","天虹","半導體業","286966","142862","226582","100.869370441405","26.64995454184357","582447","461193","26.291379097254296","-"
"115/05/01","115/3","6944","兆聯實業","綠能環保","1513132","1816507","1225711","-16.701009134564305","23.449328593771288","4706862","3039804","54.84097000990853","本公司因推進美國專案工程，致本年累計營收較去年明顯成長。"
"115/05/01","115/3","6949","沛爾生醫-創","生技醫療業","2454","1971","1406","24.505327245053273","74.53769559032717","6382","11768","-45.7681849082257","本月較去年同期增加係因細胞治療案件數量增加。"
"115/05/01","115/3","6951","青新-創","綠能環保","73288","62544","58746","17.17830647224354","24.754025806012326","209781","172693","21.476261342382145","-"
"115/05/01","115/3","6952","大武山","其他","193914","167264","118352","15.932896498947771","63.84513992158983","561789","409438","37.20978512009144","本期產蛋率提升並透過併購及技術移轉增加牧場產蛋量，以及食品加工之新廠房加入運作。"
"115/05/01","115/3","6955","邦睿生技-創","生技醫療業","31098","26906","25867","15.580167992269383","20.22267754281517","84385","71027","18.80693257493629","-"
"115/05/01","115/3","6957","裕慶-KY","其他","501957","218946","282585","129.2606396097668","77.63044747598067","1008397","783602","28.687394876480663","本期營業收入受惠於智能灑水貨架大量銷售給美國居家修繕賣場客戶所致，故較去年同期大幅增加。"
